"Service URN","Service Name","Known as","Service Type","Service Sub-Type","Provision For","Service Address Line 1","Service Address Line 2","Service Address Line 3","Service Town/City","Service Postcode","Service Address UPRN","Local Authority","Other Service Address(es)","Domiciliary care area","Primary telephone number","Primary email address","Website","Main Operating Language of Service","Flying Start Provider","Registered to deliver childcare offer","Delivers early years part time education","Maximum No. of Places","Service Ratings","Provides care during","Term Time Sunday Opening Time","Term Time Sunday Closing Time","Term Time Sunday Overnight Care Provided","Term Time Monday Opening Time","Term Time Monday Closing Time","Term Time Monday Overnight Care Provided","Term Time Tuesday Opening Time","Term Time Tuesday Closing Time","Term Time Tuesday Overnight Care Provided","Term Time Wednesday Opening Time","Term Time Wednesday Closing Time","Term Time Wednesday Overnight Care Provided","Term Time Thursday Opening Time","Term Time Thursday Closing Time","Term Time Thursday Overnight Care Provided","Term Time Friday Opening Time","Term Time Friday Closing Time","Term Time Friday Overnight Care Provided","Term Time Saturday Opening Time","Term Time Saturday Closing Time","Term Time Saturday Overnight Care Provided","Holidays Sunday Opening Time","Holidays Sunday Closing Time","Holidays Sunday Overnight Care Provided","Holidays Monday Opening Time","Holidays Monday Closing Time","Holidays Monday Overnight Care Provided","Holidays Tuesday Opening Time","Holidays Tuesday Closing Time","Holidays Tuesday Overnight Care Provided","Holidays Wednesday Opening Time","Holidays Wednesday Closing Time","Holidays Wednesday Overnight Care Provided","Holidays Thursday Opening Time","Holidays Thursday Closing Time","Holidays Thursday Overnight Care Provided","Holidays Friday Opening Time","Holidays Friday Closing Time","Holidays Friday Overnight Care Provided","Holidays Saturday Opening Time","Holidays Saturday Closing Time","Holidays Saturday Overnight Care Provided","Responsible Individual Names","Registered Person Names","Standard Conditions","Imposed Conditions","Provider URN","Provider Name","Provider Address Line 1","Provider Address Line 2","Provider Address Line 3","Provider Town/City","Provider Postcode","Provider Address UPRN","Provider Type","Company Number","Charity Number","Provider Website","Provider Registration Date","Provider Conditions","Provider No. of Approved Services","Last Updated On"
"SIN-00006714","Sasha Griffiths","","Child Minder","None","","","","","Ammanford","","","Carmarthenshire","","","07984618258","","","English","No","Yes","No","6","Well-being: Excellent; Care and Development: Excellent; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","08:00","08:00","No","07:45","08:30","No","07:45","08:30","No","","","","07:45","08:30","No","","","","","","","08:00","08:00","No","07:45","08:30","No","07:45","08:30","No","","","","07:45","08:30","No","","","","","Sasha Griffiths","The maximum number of children to be looked after at any time must not exceed 6. This includes any children for which you are not receiving a reward.","","","","","","","","","","","","","","","","","01/05/2025 18:30"
"SIN-00002519","Sasha Smith","","Child Minder","None","","","","","Cardiff","","","Cardiff","","","07773401033","sashasmith@live.com","","English","No","Yes","No","9","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Adequate","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","Sasha Smith","The maximum number of children to be looked after at any time must not exceed 9. This includes any children for which you are not receiving a reward.","","","","","","","","","","","","","","","","","30/03/2026 10:28"
"SIN-00012775-FYJJ","Saundersfoot Playgroup and Day Care","","Childrens Day Care","Full Day Care","","Saundersfoot Junior School","Frances Lane","","Saundersfoot","SA69 9HB","200002960639","Pembrokeshire","","","07984756288","Saundersfootplaygroup@qualityservice.com","","English","Yes","Yes","No","18","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Cheryl Evans","","The maximum number of children to be cared for at any time must not exceed 18.; The responsible individual for this service is Cheryl Anne Evans","","SPROV-00005191-KMNW","Saundersfoot Playgroup and Daycare","Saundersfoot Junior School","Frances Lane","","Saundersfoot","SA69 9HB","200002960639","Charitable Incorporated Organisation","","1181167","","20/09/2020","","1","01/05/2025 17:33"
"SIN-00007117","Sbort","","Childrens Day Care","Out of School Care","","Rugby and Athletic Club","Lawrenny Avenue","","Cardiff","CF11 8BR","200002932454","Cardiff","","","07815552565","sianchildcare287@gamail.com","","English","No","Yes","No","24","Care and Development: Adequate; Environment: Adequate; Leadership and Management: Adequate; Well-being: Adequate","Term Time only","","","","03:0","06:0","No","03:0","06:0","No","03:0","06:0","No","03:0","06:0","No","03:0","06:0","No","","","","","","","","","","","","","","","","","","","","","","","","","","Sian Morgan","The maximum number of children to be cared for at any time must not exceed 24.","","","","","","","","","","","","","","","","","14/07/2025 16:04"
"SIN-00005807","Sbri Ni","","Childrens Day Care","Out of School Care","","Whitland Cp School","Market Street","","Whitland","SA34 0QB","10009551413","Carmarthenshire","","","01994240238","admin@llyshywel.ysgolccc.cymru","www.hendygwyn.amdro.org.uk","Welsh","No","No","No","24","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","","","","15:15","17:15","No","15:15","17:15","No","15:15","17:15","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VANESSA ROBERTS, Eirwyn Griffiths","The maximum number of children to be cared for at any time must not exceed 24.","","","","","","","","","","","","","","","","","21/04/2026 04:34"
"SIN-00000278","Scallywags Day Nursery - Denbigh","","Childrens Day Care","Full Day Care","","Scallywags Day Nursery","Llwyn Isa Cottage","","Llanrhaeadr","LL16 4NG","10091597508","Denbighshire","","","01745814641","","N/A","","No","Yes","No","12","","Term Time and Holidays","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","16:30","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","16:30","No","","","","","Anna Roberts","The maximum number of children to be cared for at any time must not exceed 12.","","","","","","","","","","","","","","","","","09/03/2026 10:22"
"SIN-00004556","Schoolhouse Day Nursery","","Childrens Day Care","Full Day Care","","Princess Of Wales Hospital","Coity Road","","Bridgend","CF31 1RQ","200002656504","Bridgend","","","01656753957","pow@schoolhouse-daycare.co.uk","www.schoolhouse-daycare.co.uk","English","Yes","Yes","Yes","50","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","06:30","19:00","No","06:30","19:00","No","06:30","19:00","No","06:30","19:00","No","06:30","19:00","No","","","","","","","06:30","19:00","No","06:30","19:00","No","06:30","19:00","No","06:30","19:00","No","06:30","19:00","No","","","","Sarah Morales,Amanda Bennett","","The responsible individual for this service is Amanda Jean Bennett; The responsible individual for this service is Sarah Louise Morales; The maximum number of children to be cared for at any time must not exceed 50.","","SPROV-00002959-LPVT","Schoolhouse Daycare Limited","45 De La Beche Road","","Sketty","Swansea","SA2 9EA","10010022879","Limited Company","04536396","","","31/03/2002","","1","17/03/2026 14:40"
"SIN-00011506-DGPN","Schoollane Pre-School","","Childrens Day Care","Full Day Care","","Church Walks","","","Llandudno","LL30 2HL","100101037138","Conwy","","","01492577861","schoollaneplaygroup@conwy.gov.uk","schoollanepreschool.co.uk","English","Yes","Yes","Yes","52","","Term Time and Holidays","","","","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","","","","","","","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","08:30","17:00","No","","","","Louise Emery","","The maximum number of children to be cared for at any time must not exceed 52.; The responsible individual for this service is Louise Emery","","SPROV-00004861-VGRL","Schoollane Pre-School","Church Walks","","","Llandudno","LL30 2HL","100101037138","Charitable Incorporated Organisation","","1180616","","08/11/2019","","1","01/05/2025 17:28"
"SIN-00002302","Schools Out At The Dell","","Childrens Day Care","Out of School Care","","The Dell Primary School","Welsh Street","","Chepstow","NP16 5UQ","200000950246","Monmouthshire","","","01291 622007","matherndaynursery@btconnect.com","","English","No","No","No","118","Well-being: Good; Care and Development: Adequate; Environment: Good; Leadership and Management: Adequate","Term Time only","","","","15:30","18:00","No","15:30","18:00","No","15:30","18:00","No","15:30","18:00","No","15:30","18:00","No","","","","","","","","","","","","","","","","","","","","","","","","","","Amanda Gore","The maximum number of children to be cared for at any time must not exceed 118.","","","","","","","","","","","","","","","","","22/10/2025 11:24"
"SIN-00013092-BHPY","Sea Breeze","","Care Home Service","Childrens Home","Personal care for children","","","","Swansea","","","Swansea","","","01792969164","Ri@togetherstrongercare.com","www.togetherstrongercare.co.uk","English","","","","4","Well-being: Requires Improvement; Care and Support: Requires Improvement; Environment: Requires Improvement; Leadership and Management: Requires Significant Improvement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A maximum of 4 individuals can be accommodated at this service.","","SPROV-00005623-CNQX","Together Stronger (south wales) ltd","Togther Stronger South Wales Ltd","Jack 2 A King Kingsway","Fforestfach","Swansea","sa5 4dl","","Limited Company","13213067","","www.togtherstrongercare.co.uk","10/06/2022","","1","20/05/2026 19:36"
"SIN-00008041","Sea Breeze Flying Start Centre","","Childrens Day Care","Full Day Care","","Seabreeze Flying Start Centre","Seabreeze Avenue","Willenhall Street","Newport","NP19 0NZ","10093295827","Newport","","","01633 631709","","","English","Yes","No","No","63","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Emma Levy,Michelle Ball","","The maximum number of children to be looked after at any time must not exceed 63.; The responsible individual for this service is Emma Louise Levy; The responsible individual for this service is Michelle Donna Ball","","SPROV-00002461-KPVW","Newport City Council Child Care and Play Service","Malpas Court Primary School","Whittle Drive","","Newport","NP20 6NS","100101047816","Local Authority","","","","22/05/2008","","13","19/02/2026 08:48"
"SIN-00006360","Seahorses Flying Start","","Childrens Day Care","Sessional Day Care","","Clase Primary School","Rheidol Avenue Clase","","Swansea","SA6 7JX","200002959689","Swansea","","","01792701853","","www.claseprimaryschool.co.uk","English","Yes","No","No","24","Well-being: Excellent; Care and Development: Good; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","08:50","15:15","No","08:50","15:15","No","08:50","15:15","No","08:50","15:15","No","08:50","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Daniel Jones","","The responsible individual for this service is Daniel Rhys Jones; The maximum number of children to be looked after at any time must not exceed 24.","","SPROV-00003302-MRYV","City and County of Swansea Child Care and Play Services","Swansea Children's Centre, Education Dept","County Hall","Oystermouth Road","Swansea","SA1 3SN","100100986761","Local Authority","","","","11/07/2007","","14","03/07/2025 11:00"
"SIN-00010362-GRLK","Seashells Care and Support Services","","Domiciliary Support Service","None","Supported living","21 Wynnstay Road","","","Colwyn Bay","LL29 8NB","100101058726","","Seashells Ltd, Siop 2 Maldwyn House, Finsbury Square, Dolgellau, LL40 1RF","North Wales","01492543524","paula@seashellsltd.co.uk","www.seashellsltd.co.uk","English","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stuart Owen","","Seashells Limited is registered to provide a domiciliary support service in North Wales regional partnership area; The responsible individual for this service is Stuart Gareth Owen","","SPROV-00000911-MCMT","Seashells Limited","102 Bowen Court ","St Asaph Business Park ","","St Asaph ","LL17 0JE","10002232341","Limited Company","04814172","","www.seashellsltd.co.uk","12/02/2019","","1","05/03/2025 17:44"
"SIN-00012174-WJHX","Selca Day Nursery - Bridgend Road","","Childrens Day Care","Full Day Care","","Welfare Hall","Bridgend Road Llanharan","","Pontyclun","CF72 9RA","200003770403","Rhondda Cynon Taf","","","07732398921","admin@selcadaynursery.co.uk","www.selcadaynursery.co.uk","English","No","Yes","No","40","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","","","","","","","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","","","","Emma Paskell,Lauren Marchant","","The maximum number of children to be looked after at any time must not exceed 40.; The responsible individual for this service is Emma Jane Paskell; The responsible individual for this service is Lauren May Marchant; The responsible individual for this service is Lauren May Marchant","","SPROV-00004692-PNFP","Selca Ltd","Selca Day Nursery ","The Old Gospel Hall ","Rose Terrace ","Llanharan ","CF72 9RH","10012771754","Limited Company","06993898","","www.selcadaynursery.co.uk","02/05/2019","","1","15/06/2026 11:14"
"SIN-00010885-LWXK","Selca Day Nursery - Llanharan","","Childrens Day Care","Full Day Care","","The Old Gospel Hall","Rose Terrace","Llanharan","Pontyclun","CF72 9RH","10012771754","Rhondda Cynon Taf","","","01443266582","admin@selcadaynursery.co.uk","www.selcadaynursery.co.uk","English","No","Yes","Yes","38","Well-being: Good; Care and Development: Good; Environment: Adequate; Leadership and Management: Good","Term Time and Holidays","","","","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","","","","","","","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","06:45","18:00","No","","","","Lauren Marchant,Emma Paskell","","The responsible individual for this service is Emma Jane Paskell; The maximum number of children to be looked after at any time must not exceed 38.; The responsible individual for this service is Lauren May Marchant; The responsible individual for this service is Lauren May Marchant","","SPROV-00004692-PNFP","Selca Ltd","Selca Day Nursery ","The Old Gospel Hall ","Rose Terrace ","Llanharan ","CF72 9RH","10012771754","Limited Company","06993898","","www.selcadaynursery.co.uk","02/05/2019","","5","15/06/2026 11:14"
"SIN-00013256-VSHD","Selca Day Nursery - Pencoed","","Childrens Day Care","Full Day Care","","Welfare Hall","Heol-y-groes Pencoed","","Bridgend","CF35 5PE","100100904036","Bridgend","","","07594470611","admin@selcadaynursery.co.uk","www.selcadaynursery.co.uk","English","Yes","Yes","No","30","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","Emma Paskell,Lauren Marchant","","The maximum number of children to be cared for at any time must not exceed 30.; The responsible individual for this service is Emma Jane Paskell; The responsible individual for this service is Lauren May Marchant; The responsible individual for this service is Lauren May Marchant","","SPROV-00004692-PNFP","Selca Ltd","Selca Day Nursery ","The Old Gospel Hall ","Rose Terrace ","Llanharan ","CF72 9RH","10012771754","Limited Company","06993898","","www.selcadaynursery.co.uk","02/05/2019","","2","15/06/2026 11:14"
"SIN-00015351-PQBY","Selca Day Nursery - Treforest","","Childrens Day Care","Full Day Care","","Unit D16,  Old Bank Buildings","Main Avenue","","Pontypridd","CF37 5UR","10024274015","Rhondda Cynon Taf","","","01443267036","admin@selcadaynursery.co.uk","www.selcadaynursery.co.uk","English","No","Yes","No","49","","Term Time and Holidays","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","Lauren Marchant,Emma Paskell","","The maximum number of children to be cared for at any time must not exceed 49.; The responsible individual for this service is Emma Jane Paskell; The responsible individual for this service is Lauren May Marchant; The responsible individual for this service is Lauren May Marchant","","SPROV-00004692-PNFP","Selca Ltd","Selca Day Nursery ","The Old Gospel Hall ","Rose Terrace ","Llanharan ","CF72 9RH","10012771754","Limited Company","06993898","","www.selcadaynursery.co.uk","02/05/2019","","4","15/06/2026 11:14"
"SIN-00014815-PSFN","Selca School Clubs","","Childrens Day Care","Out of School Care","","Llanharan Oap Hall","Llanharry Road","Llanharan","Llanharan","CF72 9RL","100100776516","Rhondda Cynon Taf","","","07716127890","admin@selcadaynursery.co.uk","www.selcadaynursery.co.uk","English","No","Yes","No","40","","Term Time only","","","","15:00","18:00","No","15:00","18:00","No","15:00","16:30","No","15:00","18:00","No","15:00","18:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Lauren Marchant,Emma Paskell","","The maximum number of children to be cared for at any time must not exceed 40.; The responsible individual for this service is Emma Jane Paskell; The responsible individual for this service is Lauren May Marchant; The responsible individual for this service is Lauren May Marchant","","SPROV-00004692-PNFP","Selca Ltd","Selca Day Nursery ","The Old Gospel Hall ","Rose Terrace ","Llanharan ","CF72 9RH","10012771754","Limited Company","06993898","","www.selcadaynursery.co.uk","02/05/2019","","3","15/06/2026 11:14"
"SIN-00013281-CXKN","Senior Care at Home Wales","","Domiciliary Support Service","None","","Right At Home","Unit 7 Castleton Court","Fortran Road","Cardiff","CF3 0LT","10023546153","","","Cardiff and Vale","01513050770","enquiries@rightathome.co.uk","","English","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simon Osborne","","Senior Care At Home Limited is registered to provide a domiciliary support service in Cardiff and Vale regional partnership area; The responsible individual for this service is Simon John Osborne","","SPROV-00005691-DMWD","Senior Care At Home Limited","Right At Home Uk ","Burlington House ","Floor 4b Crosby Road North, Waterloo ","Liverpool, Merseyside, United Kingdom ","L22 0PJ","","Limited Company","07064895","","rightathome.co.uk","29/03/2023","","1","28/11/2024 14:00"
"SIN-00008104-WNQC","Sennybridge Nursery","","Childrens Day Care","Full Day Care","","Sennybridge CP School","Defynnog Road","Sennybridge","Brecon","LD3 8RS","10011746576","Powys","","","01874636268","sennybridgenursery@powys.gov.uk","www.sennybridge.powys.sch.uk/","","No","Yes","Yes","24","Care and Development: Good; Environment: Good; Leadership and Management: Adequate; Well-being: Good","Term Time only","","","","09:15","17:30","No","09:15","17:30","No","09:15","17:30","No","09:15","17:30","No","09:15","15:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Keri Harry","","The maximum number of children to be looked after at any time must not exceed 24 . ; The responsible individual for this service is Keri Lynne Harry","","SPROV-00002913-KHQS","Powys County Council Child Care and Play Services","County Hall","Spa Road East","","Llandrindod Wells","LD1 5LG","10006970180","Local Authority","","","","31/03/2002","","18","25/09/2025 14:42"
"SIN-00010307-LGNQ","Sense Tonypandy Domiciliary Support Services","","Domiciliary Support Service","None","Supported living","Touchbase Cymru (wales)","Caerphilly Business Park","Van Road","Caerphilly","CF83 3ED","43165626","","","Cwm Taf Morgannwg","01443801148","cherno.bah@sense.org.uk","","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SENSE, The National Deafblind and Rubella Association is registered to provide a domiciliary support service in Cwm Taf Morgannwg regional partnership area","","SPROV-00000889-VPVB","SENSE, The National Deafblind and Rubella Association","Sense","101 Pentonville Road","Kings Cross","London","N1 9LG","10012786635","Charitable Company","01825301","289868","www.sense.org.uk","11/07/2019","","1","24/06/2026 08:14"
"SIN-00013954-RGYX","Sensory Sessions","","Childrens Day Care","Out of School Care","","Ysgol Tir Morfa","Ffordd Derwen","","Rhyl","LL18 2RN","200001782272","Denbighshire","","","","","","English","No","No","No","10","","Term Time and Holidays","","","","","","","","","","","","","","","","","","","09:30","13:00","No","","","","","","","","","","","","","","","","","","","09:30","13:00","No","Rhona O'Neill,Tina Hughes","","The maximum number of children to be cared for at any time must not exceed 10.; The responsible individual for this service is Tina Maria Hughes; The responsible individual for this service is Rhona Anne O'Neill","","SPROV-00005911-CLSX","TRAIN4ALN CIC","5 Pentre Canol","Old Colwyn","","Colwyn Bay","LL29 8US","50000005529","Limited Company","13118165","","","28/06/2023","","1","01/05/2025 17:37"
"SIN-00006199","Ser Bach Y Cwm","","Childrens Day Care","Full Day Care","","Ysgol Golwg Y Cwm","Hendre Ladus","Ystradgynlais","Swansea","SA9 1SE","10090259817","Powys","","","01639846070","office@golwgycwm.powys.sch.uk","","English","Yes","Yes","Yes","67","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Allison Griffiths","","The maximum number of children to be looked after at any time must not exceed 67.; The responsible individual for this service is Allison LOUISE Griffiths","","SPROV-00002913-KHQS","Powys County Council Child Care and Play Services","County Hall","Spa Road East","","Llandrindod Wells","LD1 5LG","10006970180","Local Authority","","","","31/03/2002","","16","19/03/2026 09:30"
"SIN-00012811-NMBL","Sêr Ni Bynea","","Childrens Day Care","Full Day Care","","Bynea Cp School","Saron Road Bynea","","Llanelli","SA14 9LT","100100998824","Carmarthenshire","","","01554 742282","","","","Yes","Yes","No","16","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Excellent","Term Time and Holidays","","","","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","","","","","","","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","08:45","15:15","No","","","","Estelle Etheridge-Lawrence","","The maximum number of children to be cared for at any time must not exceed 16.; The responsible individual for this service is Estelle Etheridge-Lawrence","","SPROV-00003147-TPTS","Carmarthenshire County Council Child Care and Play Services","County Hall","Castle Hill","","Carmarthen","SA31 1JP","10009167172","Local Authority","","","","31/03/2002","","2","01/05/2025 17:51"
"SIN-00005609","Sêr Ni Flying Start Nursery","","Childrens Day Care","Sessional Day Care","","Llwynhendy Children`s Centre - Flying Start","Llwynhendy Road","Llwynhendy","Llanelli","SA14 9DP","10024323650","Carmarthenshire","","","01554742203","EEtheridge-Lawrence@carmarthenshire.gov.uk","","","Yes","No","No","24","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","","","","","","","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","","","","Estelle Etheridge-Lawrence","","The responsible individual for this service is Estelle Etheridge-Lawrence; The maximum number of children to be cared for at any time must not exceed 24.","","SPROV-00003147-TPTS","Carmarthenshire County Council Child Care and Play Services","County Hall","Castle Hill","","Carmarthen","SA31 1JP","10009167172","Local Authority","","","","31/03/2002","","7","01/05/2025 18:38"
"SIN-00013908-FSVW","Sera Jones","Plant Rhos","Child Minder","None","","","","","Pwllheli","","","Gwynedd","","","","serz3011@hotmail.com","","Welsh","No","Yes","No","10","","Term Time and Holidays","","","","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","","","","","","","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","","","","","Sera Jones","The maximum number of children to be looked after at any time must not exceed 10. This includes any children for which you are not receiving a reward.","","","","","","","","","","","","","","","","","01/05/2025 17:37"
"SIN-00008537-DPXK","Seren Bach Pre School","","Childrens Day Care","Sessional Day Care","","Gurnos Community Centre","Spruce Tree Grove","","Merthyr Tydfil","CF47 9AU","200002938054","Merthyr Tydfil","","","07860593015","serenbachflyingstart@merthyr.gov.uk","","English","Yes","No","No","26","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Excellent","Term Time only","","","","09:00","14:45","No","09:00","14:45","No","09:00","14:45","No","09:00","14:45","No","09:00","14:45","No","","","","","","","","","","","","","","","","","","","","","","","","","Sarah Ostler","","The responsible individual for this service is Sarah Louise Ostler; The maximum number of children to be looked after at any time must not exceed 26.","","SPROV-00003856-BYRJ","Merthyr Tydfil County Borough Council Early Years Team","Civic Centre","Castle Street","","Merthyr Tydfil","CF47 8AN","100100912849","Local Authority","","","","16/04/2015","","1","09/07/2026 14:20"
"SIN-00005974","Seren Fach Day Nursery","","Childrens Day Care","Full Day Care","","Above The Bakery","Gors Avenue","","Swansea","SA1 6RH","200002954945","Swansea","","","07904213644","","","English","Yes","Yes","No","35","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","Peter Richards","","The responsible individual for this service is Peter Charles Richards; The maximum number of children to be cared for at any time must not exceed 35.","","SPROV-00003519-NYPC","Seren Fach Ltd","Seren Fach Ltd ","Gors Avenue ","Cwmbwrla ","Swansea ","SA1 6RH","200002954945","Limited Company","07186916","","","07/06/2011","","1","14/05/2026 09:24"
"SIN-00002893","Seren Fach Nursery","","Childrens Day Care","Full Day Care","","Seren Fach Nursery","School Close","Ponthir","Newport","NP18 1GA","10013478881","Torfaen","","","01633431300","nursery@serenfach.co.uk","www.serenfach.com","English","No","Yes","Yes","95","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","Nicola Davison","","The responsible individual for this service is Nicola Jayne Davison; The maximum number of children to be cared for at any time must not exceed 95.","","SPROV-00002290-LCWR","Seren Fach Childcare Ltd","Seren Fach Nursery","School Close","Ponthir","Newport","NP18 1GA","10013478881","Charitable Company","03926577","","","03/11/2005","","1","01/05/2025 18:16"
"SIN-00010217-BTFN","Seren Ffestiniog Cyf","","Domiciliary Support Service","None","Supported living","Uned 1 & 2 Llwynygell","","","Blaenau Ffestiniog","LL41 3NE","10070354056","","","North Wales","01766832378","info@cwmniserencyf.org","","Welsh","","","","0","Well-being: Excellent; Care and Support: Excellent; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rona Morgan","","The responsible individual for this service is Rona Morgan; Seren Ffestiniog Cyf is registered to provide a domiciliary support service in North Wales regional partnership area","","SPROV-00000845-FWFT","Seren Ffestiniog Cyf","Unit 2 Llwyngell ","Blaenau Ffestiniog ","","Gwynedd ","LL41 3NE","10070362375","Charitable Company","03596581","1108461","www.serencyf.org","08/11/2018","","1","29/05/2026 12:40"
"SIN-00012026-TJFT","Seren Healthcare Solutions Limited","","Domiciliary Support Service","None","Supported living","Unit 32, The Orion Suite","South Wales Chamber Of Commerce","Enterprise Way","Newport","NP20 2AQ","100100973064","","","Gwent","01633526711","info@serenhealthcaresolutions.co.uk","www.serenhealthcaresolutions.co.uk","English","","","","0","Well-being: Good; Care and Support: Requires Improvement; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stellah Chinamo","","Seren Healthcare Solutions Limited is registered to provide a domiciliary support service in Gwent regional partnership area; The responsible individual for this service is Stellah VIMBAI Chinamo","","SPROV-00005108-SNQH","Seren Healthcare Solutions Limited","71 - 75 Shelton Street ","Greater London ","United Kingdom ","London ","WC2H 9JQ","5164230","Limited Company","12613839","","www.serenhealthcaresolutions.co.uk","30/10/2020","","1","23/03/2026 09:12"
