Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
St Martins Court Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",St. Martins Court Care Home,Martin Street Morriston,Swansea,SA6 7BJ,Swansea,67,01792795844,StMartinsCourt.Manager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,12
St Mellons Hyb Flying Start,Childrens Day Care,Sessional Day Care,,Cardiff County Council,Trowbridge & St. Mellons Library,Cardiff,CF3 0EF,Cardiff,20,07586321176,stmellonshybflyingstart@outlook.com,,Darling Buds FS Limited,7
St Michael`s Boarding House,Boarding School,None,,St Michael's School,Bryn,Llanelli,SA14 9TU,Carmarthenshire,17,,,,,
St Paul`s Nursery (Playgroup),Childrens Day Care,Sessional Day Care,,St Paul`s Church Hall,Llantrisant Road,Pontyclun,CF72 9DQ,Rhondda Cynon Taf,32,07428452019,stpaulsnursery@gmx.com,stpaulsnursery@gmx.com,,
St Peters Playgroup Church Hall,Childrens Day Care,Full Day Care,,St Peter's Church Hall,Mill Road,Dinas Powys,CF64 4BT,Vale of Glamorgan,24,07769690969,stpetersplaygroupdinaspowys@gmail.com,,,
St Thomas Flying Start,Childrens Day Care,Sessional Day Care,,St. Thomas Community Primary School,80 Grenfell Park Road St. Thomas,Swansea,SA1 8EZ,Swansea,20,01792650330,HollandC45@Hwbcyrmu.net,,City and County of Swansea Child Care and Play Services,15
St Winefrides Primary School Out of School Club,Childrens Day Care,Out of School Care,,St. Winefrides Rc Primary School,Whitford Street,Holywell,CH8 7NJ,Flintshire,30,01352713182,,http://roughcuts.wixsite.com/stwinefrides,,
St. Aubin nursery LTD - Roath,Childrens Day Care,Full Day Care,,33 Oakfield Street,,Cardiff,CF24 3RE,Cardiff,40,,info@st-aubin.co.uk,www.staubinnurseries.co.uk,St Aubin Nurseries Limited,1
St. Johns,Care Home Service,Adults Without Nursing,Personal care for adults,St. Johns House Residential Home,Cae Rowland Street Cwmbwrla,Swansea,SA5 8NY,Swansea,19,01792651449,maria.demaid@swansea.gov.uk,swansea.gov.uk,City and County of Swansea Adults and Children's Services,8
St. Joseph`s Out of School Club,Childrens Day Care,Out of School Care,,St Josephs Catholic Primary School,Brackley Ave,Colwyn Bay,LL29 7UU,Conwy,30,07707344997,pennaeth@santjoseph.conwy.sch.uk,,,
St. Joseph`s Playgroup,Childrens Day Care,Sessional Day Care,,St Josephs R C School,Brackley Avenue,Colwyn Bay,LL29 7UU,Conwy,30,01492532394,pennaeth@santjoseph.conwy.sch.uk,,,
Stagecoach Performing Arts Caerphilly,Childrens Day Care,Out of School Care,,St. Martin Comprehensive School,Hillside,Caerphilly,CF83 1UW,Caerphilly,75,07495331279,caerphilly@stagecoach.co.uk,www.stagecoach.co.uk/caerphilly,,
Standing To Grow Playgroup,Childrens Day Care,Sessional Day Care,,Nantyffyllon Miners Institute,Bangor Terrace,Maesteg,CF34 0HU,Bridgend,32,01656733215,standingtogrow@gmail.com,,,
Stansty House Care home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Stansty House Nursing Home,34 Stansty Road,Wrexham,LL11 2BU,Wrexham,73,01978 290 373,manager.stanstyhouse@fairways.org.uk,www.fairways.org.uk,Fairways Care Ltd,1
Station Cottage,Care Home Service,Childrens Home,"Personal care for children, Learning disability, Mental health",,,Port Talbot,,Neath Port Talbot,3,07530881155,leanne.thomas@genuscare.co.uk,www.genuscare.co.uk,Genus Care Ltd,7
Station House,Care Home Service,Childrens Home,"Personal care for children, Learning disability, Mental health",,,Bridgend,,Bridgend,3,07530881155,leanne.thomas@genuscare.co.uk,www.genuscare.co.uk,Genus Care Ltd,4
Stay & Play St Andrews,Childrens Day Care,Out of School Care,,St. Andrews Primary School,Jenkins Street,Newport,NP19 0GR,Newport,20,07835307402,stayandplay00@gmail.com,,,
Stay and Play Malpas Court,Childrens Day Care,Full Day Care,,Malpas Court Primary School,Whittle Drive,Newport,NP20 6NS,Newport,24,07432482407,stayandplaymc@gmail.com,,,
Stay and Play Mount Pleasant,Childrens Day Care,Out of School Care,,Mount Pleasant Primary School,Ruskin Ave,Newport,NP10 0AA,Newport,56,,StayAndPlay10@gmail.com,,,
Stepping Stones Day Nursery,Childrens Day Care,Full Day Care,,18 Bush Row,,Haverfordwest,SA61 1RJ,Pembrokeshire,42,,,,,
Stepping Stones Day Nursery,Childrens Day Care,Full Day Care,,Stepping Stones Day Nursery,Penymynydd Road,Penymynydd,CH4 0LG,Flintshire,30,01244544594,hbowyer1@hotmail.co.uk,,,
Sticky Fingers Under 5`s,Childrens Day Care,Full Day Care,,Penclawdd Village Hall,,Nr Raglan,NP25 4BW,Monmouthshire,24,07946 403223,stickyfingersunderfives@outlook.com,,,
Summerhill,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",34 Summerhill Avenue,,Newport,NP19 8FP,Newport,12,01633 988825,manager.summerhillAvenue@accomplish.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,1
Sunflower House,Care Home Service,Childrens Home,"Nursing care for children, Personal care for children, Learning disability, Mental health",,,Mold,,Flintshire,2,07483952229,sunflowerhouse@bluestonesmedical.co.uk,,Bluestones Medical Complex Care Limited,3
Sunny Bank,Care Home Service,Childrens Home,Personal care for children,,,Porthcawl,,Bridgend,4,01656782914,karl.culpeck@bridgend.gov.uk,www.bridgend.gov.uk,Bridgend County Borough Council Adults and Children's Services,10
Sunny Hill,Care Home Service,Adults Without Nursing,Personal care for adults,Roger's Lane,Llangewydd,Bridgend,CF32 0EU,Bridgend,1,01656 670836,info.Sunnyhill@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,4
Sunshine After School Club - Swansea,Childrens Day Care,Out of School Care,,Swansea Childrens Centre,Eppynt Road,Swansea,SA5 7AZ,Swansea,36,01792 572060,cari.beuse@swansea.gov.uk,,City and County of Swansea Child Care and Play Services,9
Sunshine Flying Start Playgroup,Childrens Day Care,Sessional Day Care,,N C H Caerphilly Childrens Centre,Cwrt Llanfabon,Caerphilly,CF83 2WP,Caerphilly,20,07855161249,esther.hawker@actionforchildren.org.uk,,Action for Children,1
Sunshine Wraparound Club,Childrens Day Care,Full Day Care,,Swansea Children's Centre,Eppynt Road Penlan,Swansea,SA5 7AZ,Swansea,20,01792572060,cari.beuse@swansea.gov.uk,,City and County of Swansea Child Care and Play Services,2
Supertots Playgroup (Pontprennau),Childrens Day Care,Full Day Care,,Pontprennau Primary School,Heol Pontprennau,Cardiff,CF23 8LL,Cardiff,44,07790708103,clair_debrick@hotmail.com,,,
Swan House,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,4,02920400657,info@gofalcymrucare.com,www.gofalcymrucare.com,Gofal Cymru Care Ltd,3
Sweetpeas Flying Start Playgroup,Childrens Day Care,Sessional Day Care,,Somerton Primary School,Nursery Unit,Newport,NP19 9AB,Newport,24,07973968225,alexa.tudball@newport.gov.uk,,Newport City Council Child Care and Play Service,6
Swffryd Sunflowers,Childrens Day Care,Full Day Care,,"Swffryd Sunflowers, Flying Start Hub",Swffryd Road,Newport,NP11 5DW,Blaenau Gwent,24,07974624292,,,Blaenau Gwent County Borough Council Child Care and Play Services,1
Swiss Valley Out of School Club,Childrens Day Care,Full Day Care,,Swiss Valley County Primary School,Heol Beili Glas,Llanelli,SA14 8DS,Carmarthenshire,30,07974760550,happydragon99@aol.com,,,
Swn Y Nant,Care Home Service,Adults Without Nursing,Personal care for adults,Windy Ridge,Pleasant View,Pontypridd,CF37 3PF,Rhondda Cynon Taf,6,01443 803772,info.Swnynant@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,19
Swn Y Wylan,Care Home Service,Adults Without Nursing,Learning disability,4 Ebberston Road East,Rhos On Sea,Colwyn Bay,LL28 4DP,Conwy,6,01492540469,swnywylan@coeddu.com,www.coeddu.com,Coed Du Hall Ltd,4
Sycamore House,Care Home Service,Childrens Home,Personal care for children,,,Bridgend,,Bridgend,1,01656 667241,debbie.martin-jones@cc-plus.co.uk,www.cc-plus.co.uk,Complete Care Plus Ltd,3
Sycamore House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",27 Sycamore Crescent,,Barry,CF62 9BU,Vale of Glamorgan,4,01446733205,info@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,3
Sycamore Lodge,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Neath Port Talbot,4,01792687999,paul.hiscock@aropacare.co.u,,AROPA CARE GROUP LTD,4
Sycharth,Care Home Service,Childrens Home,Personal care for children,,,Lampeter,,Ceredigion,3,01545574000,sycharth@ceredigion.gov.uk,,Ceredigion County Council Adults and Children's Services,1
Sychdyn Kids Club,Childrens Day Care,Out of School Care,,Sychdyn Cp School,Vownog Road Sychdyn,Mold,CH7 6ED,Flintshire,48,07984545385,sychdyn_kidsclub@hotmail.co.uk,www.ysgolsychdyn.co.uk/kids-club/,,
Sychpant,Care Home Service,Childrens Home,Personal care for children,,,Clarbeston Road,,Pembrokeshire,4,01437532924,sychpant@landskercare.co.uk,www.landskerchildcare.co.uk,Landsker Child Care Ltd,1
Sylva Gardens,Care Home Service,Childrens Home,Personal care for children,,,Llandudno,,Conwy,3,07706671883,annette.dean@conwy.gov.uk,,Conwy County Borough Council Adults and Children's Services,3
Taith Cartref,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Gellionnen Road,Clydach,Swansea,SA6 5HQ,Swansea,13,01792849259,manager.taithcartref@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,22
Talbot Green Playgroup,Childrens Day Care,Full Day Care,,The Pavillion,Lanelay Road,Llantrisant,CF72 8HY,Rhondda Cynon Taf,28,07789880135,clairewatkins@hotmail.co.uk,clairewatkinshotmail.co.uk,,
Tan y Bryn,Care Home Service,Childrens Home,Personal care for children,,,Rhyl,,Denbighshire,5,01745591320,walesadmin@actionforchildren.org.uk,www.actionforchildren.org.uk,Action for Children and Action for Children Services Ltd,16
Tan Y Marian,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Morfa'r Garreg,,Pwllheli,LL53 5BB,Gwynedd,9,01758613810,cericotgrove@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,13
Tan-y-Dre,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Wrexham,4,01978311664,walesadmin@actionforchildren.org.uk,www.actionforchildren.org.uk,Action for Children and Action for Children Services Ltd,13
Tapley Avenue Children's Respite Centre,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Wrexham,,Wrexham,5,01978352333,emma.rees@wrexham.gov.uk,,Wrexham County Borough Council Adults and Children's Services,7
Tawe House,Care Home Service,Childrens Home,Personal care for children,,,Swansea,,Swansea,2,07701284359,lauren.mccartney@tycaredig.co.uk,,TY CAREDIG LTD,7
Tea Timers,Childrens Day Care,Sessional Day Care,,"Old Library, Sports And Community Centre",Singleton Road,Cardiff,CF24 2EY,Cardiff,24,07899995377,teatimersafterschoolclub@outlook.com,,,
Tegfan,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Tegfan Homes,Arthur Street,Ammanford,SA18 2DR,Carmarthenshire,16,01792 885126,enquiries@manddcare.co.uk,https://mdcareltd.co.uk,M&D Care Operations Ltd,9
Tegfan House,Care Home Service,Childrens Home,Personal care for children,,,Swansea,,Swansea,4,01792872288,Victoria.joseph@prioritychildcare.co.uk,,Priority Childcare Limited,2
Tegfan Resource Centre,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Tegfan Resource Centre,Llewelyn Street,Aberdare,CF44 8HU,Rhondda Cynon Taf,46,01685878485,Jill.Bow@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,10
The Baby Bug Day Nursery,Childrens Day Care,Full Day Care,,42A Gorwydd Road,,Swansea,SA4 3AQ,Swansea,37,01792875550,sarasedgwickbabybugs@gmail.com,,,
The Cedars Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",60 Coldbrook Road East,,Barry,CF63 1NG,Vale of Glamorgan,3,01446747602,info@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,2
The Curiosity Garden,Childrens Day Care,Full Day Care,,Rhydyfro Primary School,"Waun Penlan, Rhyd Y Fro",Swansea,SA8 3BB,Neath Port Talbot,20,07805531392,gemmawilliams@thecuriositygarden.onmicrosoft.com,,,
The Daffodils Care Home ,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",The Daffodils Care Home,14 Dynevor Street,Merthyr Tydfil,CF48 1AY,Merthyr Tydfil,30,01685386745,Elizabeth.Prosser@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,13
The Elms,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",The Elms,Heol Y Capel,Llanelli,SA14 7EW,Carmarthenshire,9,01792 885126,enquiries@manddcare.co.uk,https://mdcareltd.co.uk,M&D Care Operations Ltd,7
The Ely and Caerau Childrens Centre,Childrens Day Care,Full Day Care,,Michaelston Road,,Cardiff,CF5 4SX,Cardiff,85,02920671420,kleighfield@cardiff.gov.uk,www.elyandcaerauchildrenscentre.co.uk,Cardiff Council Child Care and Play Services,4
The Farm,Care Home Service,Childrens Home,Personal care for children,,,Cowbridge,,Vale of Glamorgan,4,01446775686,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,4
The Firs,Care Home Service,Childrens Home,Personal care for children,,,Blackwood,,Caerphilly,2,07971 781 534,willik19@caerphilly.gov.uk,,Caerphilly County Borough Council Adults and Children's Services,4
The Glen,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",The Glen,,Newport,NP18 2AA,Newport,5,01633401312,Torri.MITCHELL@iriscaregroup.co.uk,www.iriscaregroup.co.uk,Ocean Community Services Limited,6
The Grange,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",The Grange,Lime Grove Avenue,Carmarthen,SA31 1SN,Carmarthenshire,6,01267226920,mairinei@consensussupport.com,https://www.consensussupport.com/find-a-home-search-results/?postcode=&home=the+grange&region=&accommodation_category=,Consensus Support Services Limited,4
The Grove,Care Home Service,Adults Without Nursing,Personal care for adults,The Grove Care Home,17 Ynyscedwyn Road,Swansea,SA9 1BE,Powys,30,01639842138,thegrove.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,17
The Haven,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",31 Haven Road,,Haverfordwest,SA61 1DU,Pembrokeshire,14,01437 808580,manager.thehaven@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,4
The Highway Day Nursery,Childrens Day Care,Full Day Care,,115-117 The Highway,Hawarden,Deeside,CH5 3DN,Flintshire,65,01244537259,office@highwaydaynursery.co.uk,,,
The Hollies,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",22 Pardoe Crescent,,Barry,CF62 8EQ,Vale of Glamorgan,7,01446402514,viktoria.allen-davies@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,7
The Ivy,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",4 Pardoe Crescent,,Barry,CF62 8EQ,Vale of Glamorgan,4,01446 624450,info@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,1
The Jays,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",8a,The Grove,Merthyr Tydfil,CF47 8YR,Merthyr Tydfil,7,01685 490231,manager.thejays@accomplish-group.co.uk,https://www.accomplish-group.co.uk/residential-homes/the-jays/,Accomplish group ltd,2
The Lodge,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,3,01824572014,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,19
The Malt House,Care Home Service,Childrens Home,Personal care for children,,,Welshpool,,Powys,2,01939210040,enquiries@newreflexions.co.uk,www.newreflexions.co.uk,Reflexion Care Group Ltd,5
The Oak Tree Centre,Childrens Day Care,Full Day Care,,The Oak Tree Centre,Ffordd Las,Rhyl,LL18 2DY,Denbighshire,135,01745 360129,,,Denbighshire County Council Child Care and Play Services,1
The Old Manse,Care Home Service,Adults Without Nursing,Personal care for adults,The Old Manse,,Haverfordwest,SA62 4LB,Pembrokeshire,4,01437767566,enquiries@orbis-group.co.uk,www.orbis-group.co.uk,Pembrokeshire Resource Centre LTD,5
The Old Rectory,Care Home Service,Childrens Home,Personal care for children,,,Newport,,Newport,4,01633846475,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,3
The Old Vicarage,Care Home Service,Adults Without Nursing,Personal care for adults,The Old Vicarage,,Bridgend,CF35 6EL,Bridgend,4,01656 841508,info.Theoldvicarage@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,5
The Old Vicarage,Care Home Service,Adults Without Nursing,Personal care for adults,The Old Vicarage,Church Lane,Cardiff,CF3 2UF,Newport,10,01633681192,nathan.howells@orbis-group.co.uk,www.orbis-group.co.uk,Orbis Education and Care Limited,11
The Osborne Children`s Nursery,Childrens Day Care,Full Day Care,,Osborne Childrens Nursery,Quantock Drive,Newport,NP19 9DF,Newport,34,01633 282100,info@osbornechildrensnursery.co.uk,www.osbornechildrensnursery.co.uk,,
The Paddocks,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",41a Rhydycoed,Birchgrove,Swansea,SA7 9PE,Swansea,5,01792818066,manager.paddocks@accomplishgroup.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,23
The Potteries,Care Home Service,Childrens Home,Personal care for children,,,Montgomery,,Powys,4,01686630176,Stephen.Royds@greenfields.uk.com,https://greenfields.uk.com/,Greenfields Adolescent Development Limited & Caretech Community Services Limited,5
The Uplands,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Achieve Together,6a,Newport,NP11 3RH,Caerphilly,5,01495245253,bobbie.poole@achievetogether.co.uk,www.achievetogether.co.uk,Achieve together Ltd,16
The Vicarage,Care Home Service,Childrens Home,Personal care for children,,,Swansea,,Neath Port Talbot,4,01639 418864,shayne.lewis@aropacare.co.uk,,AROPA CARE GROUP LTD,6
The Willows,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",The Willows,6-10,Neath,SA10 7UB,Neath Port Talbot,8,01639 633496,manager.willows@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,41
The Willows,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",116 Port Road East,,Barry,CF62 9PW,Vale of Glamorgan,3,01446401073,info@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,6
Thompson Court,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",272 Cowbridge Road East,,Cardiff,CF5 1HA,Cardiff,3,02920227470,manager.thompsoncourt@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,24
Tiddly Tinys,Childrens Day Care,Full Day Care,,Taibach Community Education Centre,Margam Road,Port Talbot,SA13 2BN,Neath Port Talbot,12,01639 892054,tiddlywinks42@outlook.com,,,
Tiddlywinks Playgroup,Childrens Day Care,Full Day Care,,Special Needs Activity Centre,Lady Charlotte Lane,Port Talbot,SA13 2BL,Neath Port Talbot,50,01639 892054,tiddlywinks42@outlook.com,,,
Tiggys,Childrens Day Care,Full Day Care,,Bryn Bach Primary School,Merthyr Road,Tredegar,NP22 3RX,Blaenau Gwent,30,07561601642,tiggysafterschoolclub@hotmail.com,,,
Timothy House,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability, Mental health",2 Timothy Rees Close,,Cardiff,CF5 2RH,Cardiff,6,02920400657,info@gofalcymrucare.com,www.gofalcymrucare.com,Gofal Cymru Care Ltd,7
Tiny Tots Day Nursery,Childrens Day Care,Full Day Care,,106a Meliden Road,,Prestatyn,LL19 8RL,Denbighshire,86,01745856683,jonestinytots@aol.com,www.tinytotsprestatyn.co.uk,,
Tiny Tots Playgroup (Rumney),Childrens Day Care,Full Day Care,,Rumney Memorial Hall,Wentloog Road,Cardiff,CF3 3EA,Cardiff,28,07791687328,tinytotsplaygroup@live.co.uk,,,
Tir Einon,Care Home Service,Adults Without Nursing,Learning disability,Llwynhendy,,Llanelli,SA14 9DF,Carmarthenshire,8,01554 742555,TirEinonRespiteHome@carmarthenshire.gov.uk,www.carmarthenshire.gov.wales/council-services/social-services/tir-einon-respite,Carmarthenshire County Council Adults and Children's Services,3
Tir Isaf Farm,Care Home Service,Childrens Home,"Personal care for children, Learning disability, Mental health",,,Swansea,,Swansea,3,07530881155,leanne.thomas@genuscare.co.uk,,Genus Care Ltd,2
Toadhall Montessori Nursery And Creche (Evansfield Road),Childrens Day Care,Full Day Care,,14 Evansfield Road,,Cardiff,CF14 2FA,Cardiff,18,02920555160,office@toadhallmontessorinurseries.co.uk,www.toadhallmontessorinurseries.co.uk,,
Toadhall Montessori Nursery And Creche (Station Road),Childrens Day Care,Full Day Care,,50 Station Road,Llandaff North,Cardiff,CF14 2FF,Cardiff,25,02920561356,office@toadhallmontessorinurseries.co.uk,www.toadhallmontessorinurseries.co.uk,,
Ton Road,Care Home Service,Childrens Home,Personal care for children,,,Cwmbran,,Torfaen,2,01633329086,leah.shephard@midwayts.com,,Midway Transitional Solutions Ltd,5
Ton Tiddlywinks,Childrens Day Care,Full Day Care,,25 Gelli Road,Ton Pentre,Rhondda,CF41 7LR,Rhondda Cynon Taf,19,01443432832,TonTiddlywinks@hotmail.com,,,
Ton Tots Playgroup and Afterschool Club,Childrens Day Care,Full Day Care,,Ton Pentre Infants School,School Street,Pentre,CF41 7LS,Rhondda Cynon Taf,16,07504254367,tontots17@gmail.com,,,
Toptotz Day Nursery,Childrens Day Care,Full Day Care,,Top Totz Nursery,23 Cambrian Street,Llanelli,SA15 2PN,Carmarthenshire,29,01554899789,hello@toptotzdaynursery.co.uk,www.toptotzdaynursery.com,,
Tower Street,Care Home Service,Childrens Home,Personal care for children,,,Pontypridd,,Rhondda Cynon Taf,2,01443404777,leah.shephard@midwayts.com,,Midway Transitional Solutions Ltd,7
Towyn Way,Care Home Service,Adults Without Nursing,Personal care for adults,21 Towyn Way,Tonteg,Pontypridd,CF38 1NB,Rhondda Cynon Taf,5,01443 218725,info.Towynway@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,1
Toy Box Nursery (Wrexham),Childrens Day Care,Full Day Care,,Toy Box Nursery,Mold Road,Wrexham,LL11 2AF,Wrexham,37,01978 353881,info@toyboxnurseries.co.uk,www.toyboxnurseries.co.uk,,
Trafalgar Park Care Home,Care Home Service,Adults Without Nursing,Nursing care for adults,6 Heol Harry Lewis Nelson,,Treharris,CF46 6JH,Caerphilly,52,01443450423,Trafalgar.Manager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,14
Trecenydd Playscheme,Childrens Day Care,Out of School Care,,Hendre Junior School,St Cenydd Road,Caerphilly,CF83 2RP,Caerphilly,50,,,www.ptecc.org.uk,Penyrheol Trecenydd Energlyn Community Council,1
Treeside,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",15 Lon Brynawel,Llansamlet,Swansea,SA7 9SY,Swansea,1,01792 310756,manager.treeside@keys-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,25
Treffos Cottage Nursery,Childrens Day Care,Full Day Care,,Treffos Independent School & Nursery,Llansadwrn,Menai Bridge,LL59 5SD,Isle of Anglesey,60,01248712322,info@treffos.org,www.treffos.org,,
Trem Y Glyn Residential Home,Care Home Service,Adults Without Nursing,Personal care for adults,Trem-y-glyn Residential Care Home,Park Avenue Glynneath,Neath,SA11 5DW,Neath Port Talbot,27,01639 720786,s.jones14@npt.gov.uk,,Neath Port Talbot County Borough Council,3
Trem Y Mor,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Trem-y-mor,Scarlet Avenue,Port Talbot,SA12 7PH,Neath Port Talbot,16,01639 763014,H.Burton@npt.gov.uk,npt.gov.uk,Neath Port Talbot County Borough Council,4
Tremorfa Afternoon Club - Wrap around Childcare,Childrens Day Care,Sessional Day Care,,Willows High School,Willows Avenue,Cardiff,CF24 2YE,Cardiff,46,02920462581,tremorfanurseryschool@cardiff.gov.uk,,Cardiff Council Child Care and Play Services,2
Trenewydd Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Trenewydd Care Home,Ger Y Tarrell,Brecon,LD3 8DE,Powys,35,01874622171,trenewydd.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,4
Treowen 3 Plus,Childrens Day Care,Full Day Care,,Treowen Primary School,Colwyn,Newtown,SY16 1NH,Powys,20,01686627569,,,Powys County Council Child Care and Play Services,9
Trevelyan ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Trevelyan,Bronwydd,Carmarthen,SA33 6JA,Carmarthenshire,6,01267236401,manager.trevelyan@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,42
Troed Y Rhiw,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Troed-y-rhiw House,Troed-y-rhiw Road,Mountain Ash,CF45 4LD,Rhondda Cynon Taf,24,01443473520,jill.bow@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,11
Troedyrhiw Early Days Support (TEDS),Childrens Day Care,Sessional Day Care,,Troedyrhiw Early Days School,The Willows,Troedyrhiw,CF48 4DX,Merthyr Tydfil,19,07552020588,teds1909@gmail.com,,,
Tulip House,Care Home Service,Childrens Home,Personal care for children,,,Abergele,,Conwy,1,07484530053,tuliphouse@bluestonesmedicalcomplexcare.co.uk,www.bluestonesmedicalcomplexcare.co.uk,Bluestones Medical Complex Care Limited,1
Twinkle Star Moorland,Childrens Day Care,Sessional Day Care,,Moorland Primary School,Moorland Road,Cardiff,CF24 2LJ,Cardiff,40,07817955443,sarah.mackay2@cardiff.gov.uk,,Cardiff Council Child Care and Play Services,1
Twinkle Tots,Childrens Day Care,Sessional Day Care,,Twinkle Tots,Old Garnlydan Primary School,Garnlydan,NP23 5ER,Blaenau Gwent,28,,,N/A,Blaenau Gwent County Borough Council Child Care and Play Services,3
Twinkle Tots Flying Start Childcare Centre,Childrens Day Care,Sessional Day Care,,Malpas Court Primary School,Whittle Drive,Newport,NP20 6NS,Newport,32,07989663250,,,Newport City Council Child Care and Play Service,9
Two Tribes After School Club,Childrens Day Care,Out of School Care,,Magor Church Hall,Sycamore Terrace,Caldicot,NP26 3ET,Monmouthshire,40,07704280780,twotribesasc@hotmail.com,,,
Ty Aelwyd,Care Home Service,Childrens Home,Personal care for children,,,Treharris,,Merthyr Tydfil,1,01443414826,matt.greening@prioritychildcare.co.uk,www.prioritychildcare.co.uk,Priority Childcare Limited,9
Ty Arfryn,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Alltycnap Road,Johnstown,Carmarthen,SA31 3QY,Carmarthenshire,7,01267231589,manager.tyarfryn@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,26
Ty Ash Children's Home,Care Home Service,Childrens Home,Personal care for children,,,Newport,,Newport,4,01633988969,walesadmin@actionforchildren.org.uk,,Action for Children and Action for Children Services Ltd,6
Ty Banwen,Care Home Service,Childrens Home,Personal care for children,,,Treharris,,Merthyr Tydfil,1,01443 414826,matt.greening@prioritychildcare.co.uk,,Priority Childcare Limited,1
