Email Address,SITE,LOCALAUTH,SITECOUNT
management@cwmaman.care,Cwmaman Care Home,Rhondda Cynon Taf,1
management@hengoedcourt.co.uk,Hengoed Court Care Home and Hengoed Park Care Home,Swansea,2
manager.active8@keys-group.co.uk,Active 8,Isle of Anglesey,1
manager.arthog@keys-group.co.uk,Arthog,Gwynedd,1
manager.cottage@rosewoodhealthcaregroup.co.uk,The Cottage Care Home,Flintshire,1
manager.erwhir@gmail.com,Erwhir Care Home,Carmarthenshire,1
manager.fwn@fairways.org.uk,Fairways Newydd Nursing and Dementia Care Centre,Isle of Anglesey,1
manager.graigllwyn@keys-group.co.uk,Graig Llwyn House,Cardiff,1
manager.isgoed@keys-group.co.uk,Isgoed,Cardiff,1
manager.maesyrhaf@keys-group.co.uk,Maes Yr Haf,Vale of Glamorgan,1
manager.manorleigh@gmail.com,Spring Meadows (Care) Ltd,Swansea,1
manager.manorlodge@accomplish-group.co.uk,Manor Lodge,Newport,1
manager.medway@keys-group.co.uk,Medway,Wrexham,1
manager.mountainview@keys-group.co.uk,Mountain View,Rhondda Cynon Taf,1
manager.nantview@keys-group.co.uk,Nant View,Rhondda Cynon Taf,1
manager.phoenixhouse@keys-group.co.uk,Phoenix House,Merthyr Tydfil,1
manager.pinehurstrest@gmail.com,Pinehurst Rest Home Limited,Bridgend,1
manager.plasisaf@rosewoodhealthcaregroup.co.uk,Plas Isaf Care Home,Conwy,1
manager.pvch@gmail.com,EMJ & GP Ltd TA Park View Care Home,Neath Port Talbot,1
manager.sterlingbach@keys-group.co.uk,Sterling Bach,Powys,1
manager.tynewydd@accomplish-group.co.uk,Ty Newydd,Newport,1
manager.wellfield@pearlcare.co.uk,Wellfield Rest Home,Flintshire,1
manager.westhaven@gmail.com,Westhaven Nursing Home,Conwy,1
manager.whitehouse@accomplish-group.co.uk,The White House,Bridgend,1
manager.woodsideelms@accomplish-group.co.uk,Woodside & Elms,Newport,1
manager@abigailsdaynursery.co.uk,Abigail's Day Nursery,Caerphilly,1
manager@afongoch.co.uk,Afon Goch,Gwynedd,1
manager@aspenhousecarehome.co.uk,Aspen House Care Home,Rhondda Cynon Taf,1
manager@baltimorecarehome.com,Baltimore Care Ltd,Vale of Glamorgan,1
manager@bargoedcare.co.uk,Bargoed Care Home,Caerphilly,1
manager@bellavistanursinghome.com,Bellavista Care Cardiff Limited,Cardiff,1
manager@bistrecarehome.co.uk,Bistre Nursing Home,Flintshire,1
manager@brightsidemanor.org.uk,Brightside Manor,Cardiff,1
manager@bryneithin.com,Bryn Eithin Residential Care Ltd,Conwy,1
manager@cabanaur.co.uk,Caban Aur,Isle of Anglesey,1
manager@campioncare.co.uk,Campion Gardens Care Home,Swansea,1
manager@castlecourt.co.uk,Castle Court Residential Home,Monmouthshire,1
manager@chestnuthousecarehome.co.uk,Chestnut House Care Home,Flintshire,1
manager@childsplaynursery.net,ChildsPlay Private Nursery,Newport,1
manager@fairfieldhousecarehome.co.uk,Fairfield House Care Home,Rhondda Cynon Taf,1
manager@glanenigcarehome.com,Glanenig Residential Care Home,Powys,1
manager@glasfrynhouse.co.uk,Glasfryn House Limited,Swansea,1
manager@heathfields.uk,Heathfields Residential Home,Bridgend,1
manager@oldconventnursinghome.com,"Colwyn Bay Old Convent Nursing Home, Ltd",Conwy,1
manager@oremview.co.uk,Orme View Dementia Care,Conwy,1
manager@ormeview.co.uk,Orme View Residential Care,Conwy,1
manager@parkside-residential.co.uk,Parkside House Residential Home,Vale of Glamorgan,1
manager@penrhoscarehome.com,Penrhos Care Home Ltd,Rhondda Cynon Taf,1
manager@phoenixhouse-sandycroft.co.uk,Phoenix House,Flintshire,1
manager@plaseleri.co.uk,Plas Eleri Nursing Home Denbigh Care Group Ltd,Denbighshire,1
manager@resicare.co.uk,Cerrig yr Afon nursing home,Gwynedd,1
manager@rosegardendaynursery.co.uk,The Rose Garden Day Nursery,Swansea,1
manager@southernhouse.co.uk,Southern House Nursing Home,Conwy,1
manager@stannescare.co.uk,St Anne's Nursing Home,Monmouthshire,1
manager@stowpark.co.uk,Stow Park Nursing Home,Newport,1
manager@sunnybanknursery.co.uk,Sunnybank Childrens Nursery Limited,Newport,1
manager@themountdaynursery.com,The Mount Day Nursery,Denbighshire,1
manager@theoaksresidentialhome.com,The Oaks Residential Home,Newport,1
manager@tiddlywinkscyf.org,Tyfu gyda Tiddlywinks,Neath Port Talbot,1
manager@tyllandaffcare.com,Ty Llandaff Care Home,Cardiff,1
manager@tymawr-carehome.co.uk,Ty Mawr Care Home,Powys,1
manager@tynantcarehome.com,Ty Nant Care Home,Neath Port Talbot,1
manager@waterviewcare.co.uk,Neyland House Care Home,Pembrokeshire,1
manager@waverleycarecentre.com,The Waverley Care Centre,Vale of Glamorgan,1
manager@weprevilla.co.uk,Wepre Villa Homes Ltd,Flintshire,1
manager@whitehousewxm.co.uk,White House Residential Home,Wrexham,1
manager@wynnecrest.co.uk,Wynne Crest Care Home,Conwy,1
manager@ypelican.co.uk,Meithrinfa Y Pelican Cyf,Cardiff,1
manageraym@ashberry.net,Allt Y Mynydd,Carmarthenshire,1
managerblaenoshouse@ashberry.net,Blaenos House Care Home,Carmarthenshire,1
managerlittleacorns@gmail.com,Little Acorns,Powys,1
managertypentwyn@outlook.com,Ty Pentwyn Care Home,Rhondda Cynon Taf,1
mandypilcher@mccp.org.uk,Machynlleth Nursery,Powys,1
maple.house@arbourhealthcare.co.uk,Maple House,Wrexham,1
maplelodge@salus.wales,Maple Lodge,Swansea,1
marbrynresidentialhome@gmail.com,Marbryn Residential Home,Gwynedd,1
margaretbarnardtrust@gmail.com,The Margaret Barnard Playgroup Association,Gwynedd,1
marinecourt21@gmail.com,Marine Court Psychiatric Unit Limited,Conwy,1
marion@eraliving.co.uk,Cefn Manor,Carmarthenshire,1
mark.lazarus@brighterfuturescymru.com,Lle Hyfryd,Powys,1
mark@virgocarehomes.com,Thomas Gabrielle General Nursing & Dementia Residential Home ,Torfaen,1
markbevanr@aol.com,Bevans House and Caseys Lodge,Neath Port Talbot,2
matherndaynursery@btconnect.com,Caerwent Day Nursery and Mathern Day Nursery,Monmouthshire,2
matthew.penpraze@serendipitycare.com,Bellwave House,Bridgend,1
matthew.thomas@achievetogether.co.uk,Options Llys-y-Delyn and Ty Golff,Denbighshire,2
maxine@pellserve.com,Mayfield Care Home,Newport,1
mayflower@newportcarehomes.com,Mayflower Care Home,Torfaen,1
mazhar.ali@wellcomecarehomes.com,Blaendyffryn Hall Nursing Home and Trycelyn Court,Ceredigion,2
mcbridec1@hwbcymru.net,AllStars,Wrexham,1
mctnursery@yahoo.co.uk,Meithrinfa Chwarae Teg Nursery Abergele,Conwy,1
mdd@dyffrynyglowyr.powys.sch.uk,Meithrinfa Dechrau Disglair,Powys,1
meadowbankdaynursery@gmail.com,Meadowbank Day Nursery,Monmouthshire,1
megangwyer@enfyscare.co.uk,Garth View,Rhondda Cynon Taf,1
meifodmanager@hotmail.com,Meifod & Vicarage Court,Wrexham,1
meithrin.mynyddygarreg@outlook.com,Cylch Meithrin Mynyddygarreg,Carmarthenshire,1
meithrin@gmail.com,Cylch Meithrin y Drenewydd,Powys,1
meithrincarwe@gmail.com,Cylch Meithrin Carwe cio,Carmarthenshire,1
meithrinch@icloud.com,Cylch Meithrin Carreg Hirfaen CIO,Carmarthenshire,1
meithrinderibach@gmail.com,Cylch Meithrin Deri Bach,Ceredigion,1
meithrinfa-liliwenfach-nursery@hotmail.com,Meithrinfa Liliwenfach Nursery,Carmarthenshire,1
meithrinfa.twtlol@outlook.com,Meithrinfa Twt Lol and Meithrinfa Twt Lol Bach CYF,Conwy,2
meithrinfa@serenfach.cymru,Meithrinfa Seren Fach,Gwynedd,1
meithrinfablagur@outlook.com,Meithrinfa Blagur Cyf,Gwynedd,1
meithrinfapontnewydd@aol.com,Meithrinfa Pontnewydd,Torfaen,1
meithrinfaseren@yahoo.com,Clwb Seren and Meithrinfa Seren Day Nursery,Carmarthenshire,2
meithrinffairfach@gmail.com,Cylch Meithrin Ffairfach,Carmarthenshire,1
meithrinllangyndeyrn@hotmail.com,Cylch Meithrin Y Fro,Carmarthenshire,1
meithrinllansawel@gmail.com,Cylch Meithrin Llansawel,Carmarthenshire,1
meithrinmwy123@outlook.com,Meithrin Mwy Plas Coch,Wrexham,1
meithrinnantgaredigarfro@gmail.com,Cylch Meithrin Nantgaredig a'r Fro,Carmarthenshire,1
meithrinpenparc@gmail.com,Cylch Meithrin Penparc,Ceredigion,1
meithrinpentre@hotmail.com,Cylch Meithrin Pentrefoelas,Conwy,1
meithrinpentrebach@hotmail.com,Cylch Meithrin Pentre Bach,Merthyr Tydfil,1
meithrinponthenri@icloud.com,Cylch Meithrin Ponthenri,Carmarthenshire,1
melanie.heaher@orbis-group.co.uk,Ty Seren,Swansea,1
melhouse2224@gmail.com,Melbourne House Care Home ,Carmarthenshire,1
melinchildcare@gmail.com,Melin Childcare,Neath Port Talbot,1
melinplaygroup@gmail.com,Melin Flying Start,Neath Port Talbot,1
mererid.morgan929@btinternet.com,Clwb y Ddwylan,Carmarthenshire,1
merllynchildcarebagillt@gmail.com,Merllyn Childcare,Flintshire,1
merthyr@jah-jireh.org,Jah Jireh Charity Homes (Wales),Merthyr Tydfil,1
messymonsters@ggca.org.uk,Messy Monsters Day Nursery,Rhondda Cynon Taf,1
mhfelin23@outlook.com,Meithrinfa Hen Felin,Gwynedd,1
michael.shirley@hafansaff.co.uk,Aberogwen Farmhouse,Vale of Glamorgan,1
michael@parallelcaresolutions.co.uk,The Grange,Flintshire,1
michelle@crownhousedaynursery.com,Crown House Day Nursery,Cardiff,1
mightyoaks23@hotmail.com,Mighty Oaks Blackwood,Caerphilly,1
mike.ore@cambiangroup.com,Burfa House and Hanter House,Powys,2
mike@ffynnone.co.uk,Ffynnone Care Home,Carmarthenshire,1
mikinda.hawkins@alchemy-care.co.uk,Harbour House,Pembrokeshire,1
milbrookhome@gmail.com,Millbrook Care Home Ltd,Caerphilly,1
milford@happydayschildcare.co.uk,Happy Days Child Care Centre,Pembrokeshire,1
millchildcarectr@aol.com,The Mill Child Care Centre Ltd,Denbighshire,1
millheath@summerhillgroup.co.uk,Millheath Nursing Home,Newport,1
millview@silvercrestcare.co.uk,Millview Care Home,Rhondda Cynon Taf,1
min.zaman@genesiscte.co.uk,Min Zaman,Pembrokeshire,1
minerva@omegalife.uk,Minerva House,Wrexham,1
mini.miners.hall@gmail.com,Mini Miners Hall,Caerphilly,1
miniacornsrct@gmail.com,Mini Acorns Ltd,Rhondda Cynon Taf,1
minimenursery@aol.com,Mini Me Private Day Nursery,Newport,1
miniminersclub@gmail.com,Mini Miners Centre and Mini Miners Club,Caerphilly,2
miranda.knight@cardiffsteiner.org.uk,Cardiff Steiner School Early Years and Wraparound Care,Cardiff,1
mirela.matei@bankhousecare.com,Bankhouse Care Home,Blaenau Gwent,1
mirimawr@meithrinfa.com,Miri Mawr Nursery,Cardiff,1
mirimorswyn@gmail.com,Miri Morswyn (Gofal Dydd Llawn),Isle of Anglesey,1
mishaelcarehome@aol.co.uk,Woodside House Residential Home,Neath Port Talbot,1
miss-helen-williams@hotmail.com,Markham Playgroup,Caerphilly,1
mochdreplaygroup@hotmail.com,Mochdre Playgroup,Conwy,1
monica.jeff@mencap.org.uk,Mencap Cymru Respite Service Bryn Siriol,Ceredigion,1
monica@coedisaf.co.uk,Coed Isaf Nursing Home,Conwy,1
monmouthnursery@btconnect.com,Monmouth Day Nursery,Monmouthshire,1
montrose35a@hotmail.co.uk,Montrose Residential Home,Pembrokeshire,1
montrosehouse@innovative-care.co.uk,Montrose House,Swansea,1
moorcroftcare@gmail.com,Moorcroft Residential Care Home,Conwy,1
morgan@cartreficwtchltd.co.uk,Crown Lodge,Caerphilly,1
morgana@silvercrestcare.co.uk,Morgana Court and Lodge,Bridgend,1
moriahplaygroup@hotmail.com,Moriah Baptist Church Pre-School/Playgroup,Caerphilly,1
morrisk111@hwbcymru.net,Pembroke Dock Community School,Pembrokeshire,1
morrismousedaynursery@msn.com,Morris Mouse Day Nursery Ltd,Swansea,1
mothergoosepenley@gmail.com,Mother Goose Nursery,Wrexham,1
mounteveswell@priorygroup.com,Priory Mount Eveswell,Newport,1
mountpleasantplaygroup@gmail.com,Mount Pleasant Playgroup,Vale of Glamorgan,1
mrk@alastairhouse.com,Alastair House,Conwy,1
mrkhan.highfields@yahoo.co.uk,Highfields Nursing Home,Caerphilly,1
mrspuddleducks@yahoo.co.uk,Mrs Puddleducks Day Nursery,Blaenau Gwent,1
munchkinsllanbedrcoms@gmail.com,Munchkins @ Ysgol Llanbedr,Denbighshire,1
mundy_c@sky.com,Mini Me's Person Bach Fel Fi Ltd,Blaenau Gwent,1
n777kyf@icloud.com,Dan-y-Bryn Care Home,Vale of Glamorgan,1
naomi@penrhiwnursery.co.uk,Penrhiw Nursery,Caerphilly,1
naomi@salus.wales,Woodlands Terrace,Swansea,1
natalie.fletcher@qewc.co.uk,Oakhurst,Wrexham,1
natalie.glyncornel@mychoicehealthcare.co.uk,Glyncornel Nursing Home,Rhondda Cynon Taf,1
natalie.jenkins@oxfordcarehomes.co.uk,Cefn Lodge Care Home,Neath Port Talbot,1
natgbsn@yahoo.co.uk,Orchard House Residential Care Home,Vale of Glamorgan,1
nathangreenwood@aspriscs.co.uk,Penygaer,Carmarthenshire,1
nathanthomas@enfyscare.co.uk,Usk View,Newport,1
nature@xplorescience.co.uk,Xplore! Nature Holiday Club,Flintshire,1
neena@amayacarehomes.co.uk,Bryn Celyn Care Home and Capel Grange Care Home,Bridgend,2
neil.edwards@parchouse.wales,Ty Parc,Caerphilly,1
newbeginningsrct@yahoo.co.uk,New Beginnings (Rhondda) Ltd,Rhondda Cynon Taf,1
newcombeellen2@gmail.com,Safe hands Respite Hotel,Denbighshire,1
newcranford@outlook.com,New Cranford EMI Care Home,Conwy,1
newryjuniors@btinternet.com,Newry Juniors and Newry Juniors @ St Marys,Isle of Anglesey,2
newtoncare@hotmail.com,Newton Care Home,Bridgend,1
nia.golding14@gmail.com,Eithinog Nursing Home,Conwy,1
niaharwood@tygwynmawr.co.uk,Ty Gwyn Mawr,Swansea,1
nic@bellevuenursery.co.uk,Belle Vue Nursery Ltd,Torfaen,1
nickie@saplings4kids.co.uk,Saplings Children`s Nursery,Wrexham,1
nicola.tummon@how.gdst.net,Howells Prep School,Cardiff,1
nigel@prideincare.com,Pride in Care ltd Glandovery house and St Mathews Residential Home,Blaenau Gwent,2
nightingalespreschool@gmail.com,Nightingales Pre School,Vale of Glamorgan,1
nikki@williamston.org.uk,Williamston Nursing Home,Pembrokeshire,1
nirmala.simkhada@tyvictoria.co.uk,Ty Victoria Nursing Homes ,Swansea,1
norma.stride@btconnect.com,Plas Madryn Residential Home,Gwynedd,1
normancarol481@gmail.com,Machen After School Club,Caerphilly,1
nu5pg@outlook.com,Nannerch Under Fives,Flintshire,1
nursery.manager@btrt.co.uk,Hill Tots House Nursery,Wrexham,1
nursery.manager@gdt.org.uk,Trusting Hands Day Nursery,Swansea,1
nursery.manager@rdcs.org.uk,Rhayader Community Day Nursery,Powys,1
nursery@doveworkshop.co.uk,Dovecote Day Nursery,Neath Port Talbot,1
nursery@hopenewtown.org,Hope Day Nursery,Powys,1
nursery@littlecherubs-nursery.co.uk,Little Cherubs Day Nursery,Cardiff,1
nursery@myrtlehouse.org.uk,Myrtle House Day Nursery,Carmarthenshire,1
nursery@redhillprepschool.co.uk,Redhill Montessori Nursery,Pembrokeshire,1
nursery@serenfach.co.uk,Seren Fach Nursery,Torfaen,1
nursery@swansea-union.co.uk,Swansea Students' Union,Swansea,1
nurseryrhymes1@hotmail.co.uk,Nursery Rhymes Playgroup,Merthyr Tydfil,1
oak.house@arbourhealthcare.co.uk,Oak House,Wrexham,1
oakleymanager@positivelifestylesporthcawl.com,Oakley House,Bridgend,1
oaks@shinecymru.co.uk,The Oaks Respite Services,Neath Port Talbot,1
oaksdaynursery1@gmail.com,The Oaks Day Nursery,Flintshire,1
oaktreecc@aol.com,Oaktree Childcare Centre,Flintshire,1
office.serbach@gmail.com,Meithrinfa Ser Bach Cyf,Isle of Anglesey,1
office@ahcare.co.uk,Hillstone House,Vale of Glamorgan,1
office@brogabach.co.uk,Broga Bach Day Nursery,Caerphilly,1
office@churchmanorcarehome.co.uk,Church Manor Care Home,Conwy,1
office@daisychainsprestatyn.co.uk,Daisy Chains Nursery,Denbighshire,1
office@kinmel-lodge.co.uk,Kinmel Lodge,Conwy,1
office@kinnertonlittleacorns.co.uk,Kinnerton Little Acorns,Flintshire,1
office@littlediscipleschildcare.org,Little Disciples Nursery Plus and Little Disciples Out of School & Holiday Club,Flintshire,2
office@llanfaes.powys.sch.uk,Llanfaes Little Steps - Llanfaes Camau Bach,Powys,1
office@llanganschool.org.uk,Llangan Childcare,Vale of Glamorgan,1
office@lynnefield.com,Lynnefield care home,Pembrokeshire,1
office@meifodpreschool.co.uk,Meifod Pre-school,Powys,1
office@mhrh.co.uk,Monkstone House,Bridgend,1
office@noahsarkchildcare.info,Noah`s Ark Childcare Limited,Swansea,1
office@redhillprepschool.co.uk,Redhill Holiday Club,Pembrokeshire,1
office@stdavidscwprimaryschool.co.uk,Colwinston Childcare,Vale of Glamorgan,1
office@stepbystepchildcare.uk,Step By Step Llanrumney Hall,Cardiff,1
office@sunraydaycare.co.uk,Sunray Day Care Ltd,Flintshire,1
office@toadhallmontessorinurseries.co.uk,Toadhall Montessori Out of School Academy,Cardiff,1
office@welshpool.powys.sch.uk,Happitots and Tinytots,Powys,1
ojrocksfunclub@gmail.com,O.J. Rocks Fun Club,Flintshire,1
olawilaw@hotmail.com,Meithrinfa o law i law and O law i law,Gwynedd,2
oliver.greenwood@llanerchrugoghall.co.uk,Llanerchrugog Hall,Wrexham,1
olwen@tenderlovingcare.org.uk,Chaseley House Residential home,Conwy,1
orchardnurserypenarth@outlook.com,Orchard Day Nursery Penarth Ltd,Vale of Glamorgan,1
ouattonna@gmail.com,Once Upon a Time Childcare Ltd,Neath Port Talbot,1
overtonplaygroup@yahoo.co.uk,Overton Playcentre and St Marys Out of School Club,Wrexham,2
owene392@hwbcymru.net,Treasure Chest,Wrexham,1
paddy@grangeresidentialcare.co.uk,Grange Residential Care Limited,Denbighshire,1
palsplaycare@gmail.com,Pals 2015,Cardiff,1
palsplaygroup@aol.com,PALS Childcare Bryncoch,Neath Port Talbot,1
panteg@orielhealthcaregroup.com,Panteg Nursing Home,Torfaen,1
parcymoch@gmail.com,Forest school,Gwynedd,1
parkland.school@swansea-edunet.gov.uk,Oaktree Nursery at Parkland Primary,Swansea,1
paul.fermandel@ivolve.care,Yr Ysgol Ltd,Powys,1
paul.wilkinson@alliancecare.org.uk,Blenheim and Norcot,Denbighshire,2
paula.heath@clwydalyn.co.uk,Llys Marchan,Denbighshire,1
paulaevans@cygnethealth.co.uk,Ty Alarch,Merthyr Tydfil,1
paulaharris@duffryncomlink.org.uk,Rabbit Hill Daycare,Newport,1
pembrokehouseandlodge@aol.com,Pembroke House Nursing Home and Pembroke Lodge Nursing Home,Conwy,2
penarlagholidayclub@outlook.com,Penarlag Wrap Around Care and Holiday Club,Flintshire,1
pencoedmeithrin@yahoo.com,Cylch Meithrin Pencoed,Bridgend,1
penderynplayscheme@hotmail.com,Penderyn Sports and Social Association Playscheme,Rhondda Cynon Taf,1
pendoylanps@pendoylan.com,Pendoylan Childcare,Vale of Glamorgan,1
penguindaycare2022@gmail.com,Penguin Daycare,Flintshire,1
penleychildrenclub@gmail.com,Penley Children Club,Wrexham,1
penllergaer.primary@swansea-edunet.gov.uk,Penllergaer Wraparound,Swansea,1
pentrebaen@cwtchchildcare.co.uk,Gofal Plant Cwtch Childcare  Pentrebaen,Cardiff,1
pentreuchafcylchmeithrin@gmail.com,Cylch Meithrin Pentreuchaf,Gwynedd,1
penygraigres@hotmail.co.uk,Pen Y Graig,Isle of Anglesey,1
penylan.enquiries@hallmarkcarehomes.co.uk,Hallmark Penylan House Luxury Care Home,Cardiff,1
penylanhotel@aol.com,The Penylan Residential Hotel,Cardiff,1
pete@edeneducationcentre.org,Eden Nursery Newbridge,Caerphilly,1
peterd@mirus-wales.org.uk,Pantbach Avenue Residential Respite Service and Partridge Road Residential Respite Service,Cardiff,2
peternorris@nextgenpathways.co.uk,St Martin's,Blaenau Gwent,1
peterpan@shap.org.uk,Peter Pan Nursery,Wrexham,1
pfchildcare5@hwbcymru.net,Pen-y-ffordd and Fynnongroyw childcare,Flintshire,1
plantmeithrindrefach@gmail.com,Cylch Meithrin Drefach Felindre,Carmarthenshire,1
plantynant2025@gmail.com,Cylch Meithrin Penygroes,Gwynedd,1
plas.newydd@btconnect.com,Plasnewydd Residential Home,Merthyr Tydfil,1
plas_gwyn@outlook.com,Plas Gwyn Care Home,Ceredigion,1
plascwmcynfelin88@gmail.com,Plas Cwmcynfelin Ltd,Ceredigion,1
plasderwen@yahoo.co.uk,Plas Derwen Nursing Home,Flintshire,1
plasgwynnursinghome@gmail.com,Plas Gwyn Nursing Home,Denbighshire,1
plasnewyddcareltd@gmail.com,Brynhyfryd House Nursing Home and 3 other services you run,Swansea,4
plasydderwen.gm@barchester.com,Plas y Dderwen Care Home,Carmarthenshire,1
playgroup@christchurchunitedcardiff.org.uk,Christchurch Llanedeyrn Playgroup,Cardiff,1
playgrouphanmer@gmail.com,Hanmer Playgroup Plus,Wrexham,1
playgroupsteppingstones@gmail.com,Stepping Stones Playgroup C.I.C.,Caerphilly,1
playmatesclub@outlook.com,Playmates,Wrexham,1
playscheme381@gmail.com,St Peter's Playscheme,Wrexham,1
poblbachsouthwales@gmail.com,Pobl Bach South Wales CIC,Blaenau Gwent,1
polkadotschildcare@outlook.com,Polka Dots Childcare and Polka Dots Childcare Afterschool,Cardiff,2
pontardawe@littlestepschildcare.co.uk,Little Steps Childcare Centre Ltd,Neath Port Talbot,1
pontrobertcylch@gmail.com,Cylch Meithrin Pontrobert,Powys,1
porthmadog@meddygcare.co.uk,Meddyg Care Dementia Home - Porthmadog,Gwynedd,1
poseidon@omegalife.uk,Poseidon House,Conwy,1
post@cmteditwt.co.uk,Cylch Meithrin Tedi Twt,Caerphilly,1
post@cylchglanrafon.cymru,Cylch Meithrin Glanrafon,Flintshire,1
post@cylchmeithrinllangynnwr.onmicrosoft.com,Cylch Meithrin Llangynnwr,Carmarthenshire,1
post@cylchmeithrinneslon.org,Cylch Meithrin Nelson,Caerphilly,1
post@gofalplant.cymru,Clwb Gofal Tywi,Carmarthenshire,1
post@meithrinfagartholwg.co.uk,Meithrinfa Garth Olwg,Rhondda Cynon Taf,1
post@meithrinfaogwen.co.uk,Cylch Bodfeurig and Meithrinfa Ogwen Cyf.,Gwynedd,2
post@wibliwobli.co.uk,Wibli Wobli Nursery,Newport,1
postterrig@hwbmail.net,Teigrod Terrig After School Club,Flintshire,1
pow@schoolhouse-daycare.co.uk,Schoolhouse Day Nursery,Bridgend,1
preswylfa@akaricare.co.uk,Preswylfa Nursing Home,Denbighshire,1
pricemondl@aol.com,Llanfair Grange,Carmarthenshire,1
prif@dyffryncledlyn.ceredigion.sch.uk,Cylch Meithrin a Chlwb ar ôl Ysgol Cledlyn,Ceredigion,1
prif@ysgolgynraddaberaeron.ceredigion.sch.uk,Cregyn Aeron,Ceredigion,1
princessroadschool1@gmail.com,Princess Road ASC,Conwy,1
puddleducks.play@yahoo.com,Puddleducks Playgroup,Caerphilly,1
puddleduckstrefnant@gmail.com,Puddleducks All Day Care,Denbighshire,1
pufflings2022@gmail.com,Pufflings Daycare,Pembrokeshire,1
pwyllgor.cylchhwlffordd@gmail.com,Cylch Meithrin Caer Elen (Hwlffordd),Pembrokeshire,1
pwyllgorcylchmeithrinbodedern27@gmail.com,Cylch Meithrin Bodedern,Isle of Anglesey,1
pwyllgorcylchmeithrinllangadog@outlook.com,Cylch Meithrin Llangadog,Carmarthenshire,1
pwyllgorcylchporthmadog@outlook.com,Cylch Meithrin Porthmadog,Gwynedd,1
pwyllgorynysplantfelinfach@gmail.com,Cylch Meithrin Dyffryn Aeron,Ceredigion,1
pyg@caringuk.com,Pen-Y-Garth Care Home,Wrexham,1
pysgodynbach@gmail.com,Pysgodyn Bach,Pembrokeshire,1
queeneliz@rmbi.care,Queen Elizabeth Court,Conwy,1
raam.joshi@carongroup.wales,The Rookery Care Home,Blaenau Gwent,1
rachael.hawkins@achievetogether.co.uk,Arrow House and 2 other services you run,Wrexham,3
rachaelsplayhouseaberdare@gmail.com,Rachael's Playhouse Aberdare,Rhondda Cynon Taf,1
rachaelsplayhousehirwaun@gmail.com,Rachael's Playhouse Hirwaun Primary,Rhondda Cynon Taf,1
rachel.newman@iriscaregroup.co.uk,Beechwood Court,Vale of Glamorgan,1
rachel@parallelcaresolutions.co.uk,Rhos Y Fedwen,Wrexham,1
rachel@throughtheireyescare.co.uk,Through Their Eyes Care Ltd and 3 other services you run,Torfaen,4
rachelheyward@yahoo.co.uk,Rainbows Nursery Plus,Wrexham,1
raglanrascals@live.co.uk,Rascals ASC,Monmouthshire,1
rainbowsnursery95@gmail.com,Rainbows Private Nursery,Newport,1
ray.saunders@salvationarmy.org.uk,Rainbow Creche,Cardiff,1
rch@elliotshill.co.uk,Elliots Hill Care Ltd - Elliots Hill RCH,Pembrokeshire,1
rebecca@passport2playdaynursery.com,Passport To Play Day Nursery,Vale of Glamorgan,1
reception@cfnh.wales,College Fields Nursing Home,Vale of Glamorgan,1
redbalwncoch18@gmail.com,Red Balwn Coch,Cardiff,1
redcroft@argba.co.uk,Redcroft Care Home,Conwy,1
redrobinsnursery@gmail.com,Red Robins Nursery,Monmouthshire,1
referrals@amberleighcare.co.uk,Amberleigh Care - Golfa Hall,Powys,1
regency.enquiries@hallmarkcarehomes.co.uk,Hallmark Regency House Luxury Care Home,Cardiff,1
regenthouse16@gmail.com,Riverside Nursery School,Monmouthshire,1
rhallt@lovett-care.com,The Rhallt Care Home,Powys,1
rhayaderunder5s@aol.com,Rhayader Under Fives Pre School,Powys,1
rheolwr.derwendeg@gmail.com,Meithrinfa Gymraeg Derwen Deg,Conwy,1
rheolwr@canolfandeuluybala.onmicrosoft.com,Canolfan Deulu y Bala,Gwynedd,1
rhian.jones@ivolve.care,Mill Row,Neath Port Talbot,1
rhian.pritchard@llandybie.ysgolccc.cymru,Cylch Meithrin Llandybie a Chlwb ar ôl Ysgol,Carmarthenshire,1
rhiwlas@lovett-care.com,Rhiwlas Care Home,Flintshire,1
rhodri@marblcare.co.uk,Glandovey Terrace and Holland Street,Blaenau Gwent,2
rhosllyn2018@gmail.com,Rhosllyn Residential Home,Powys,1
rhosplaygroup@gmail.com,Rhos Methodist Playgroup,Conwy,1
rhosynmelyn@hartfordcare.co.uk,Rhosyn Melyn,Wrexham,1
rhplaygroup@gmail.com,Tiny Tots,Flintshire,1
rhyl@meddygcare.co.uk,Meddyg Care Dementia Home - Rhyl,Denbighshire,1
ri@togetherstrongercare.com,Fforest House and Sea Breeze,Swansea,2
ribbonspreschool@gmail.com,Ribbons Preschool,Vale of Glamorgan,1
richard.byng@springboardeducationandcare.co.uk,Banwen,Neath Port Talbot,1
richard.rees@dyfodol.uk,BrynHeulog,Powys,1
richard@emralhouse.co.uk,Emral House Nursing Home,Wrexham,1
richardrees1212@outlook.com,New House and Pentre Bach,Powys,2
risca.solomon@skyboundtherapies.co.uk,Skybound Plas Seren,Pembrokeshire,1
riseandshinemold@gmail.com,Rise and Shine Day Nursery- Mold,Flintshire,1
riseandshinewrexham@gmail.com,Rise and Shine Day Nursery Ltd,Wrexham,1
risingstarschildcare19@gmail.com,Cefn Fforest Rising Stars Childcare Ltd and Cwmcarn Rising Stars Childcare,Caerphilly,2
